CustomerID,Name,Gender,Region,JoinDate,Age,SubscriptionStatus
1000,Robert Gomez,Male,West,2024-02-25,49,Expired
1001,John Silva,Male,East,2020-12-01,48,Trial
1002,Mark Marshall,Male,Central,2020-08-08,37,Trial
1003,David Brennan,Male,North,2020-05-21,71,Trial
1004,Kerry Collins,Male,North,2023-09-12,61,Expired
1005,Jessica Mora,Female,South,2021-08-05,29,Trial
1006,Hannah Ray,Female,West,2021-07-03,31,Active
1007,David Kim,Male,West,2020-05-20,63,Trial
1008,William Ramirez,Male,East,2023-09-15,48,Active
1009,Zachary Bell Jr.,Male,East,2023-04-20,74,Cancelled
1010,Mike Davis,Male,East,2022-03-23,75,Active
1011,Amanda Myers,Female,West,2021-09-05,67,Active
1012,Tara Miller,Female,North,2020-08-10,69,Trial
1013,Alyssa Morgan,Female,North,2022-07-22,25,Cancelled
1014,Cindy Woods,Female,East,2024-04-02,20,Expired
1015,Jennifer Rodgers,Female,North,2023-02-12,61,Trial
1016,Andrea Roberts,Female,East,2021-05-16,42,Expired
1017,Brittney Burnett,Female,North,2020-07-03,79,Cancelled
1018,Edwin Garrison,Male,South-West,2020-08-31,29,Cancelled
1019,Michelle Torres,Female,Central,2020-11-18,71,Expired
1020,Michelle Brewer,Female,East,2021-07-14,38,Trial
1021,Aaron Burnett,Male,South,2024-02-13,70,Cancelled
1022,Austin Gutierrez,Male,East,2021-11-25,63,Trial
1023,Dustin Medina,Male,East,2021-06-14,21,Expired
1024,Andres Avila,Male,Central,2022-09-19,27,Expired
1025,Garrett Lewis,Male,South,2023-08-04,46,Cancelled
1026,Gary Walls,Male,North,2023-10-05,58,Active
1027,Anthony Schroeder,Male,East,2020-10-04,26,Cancelled
1028,Haley Wagner,Female,West,2023-11-03,45,Trial
1029,Gina Powers,Female,West,2022-10-26,79,Expired
1030,Alice Robinson,Female,East,2021-08-06,52,Active
1031,Jessica Frazier,Female,West,2021-10-20,72,Trial
1032,Terri Long,Female,East,2022-10-23,20,Trial
1033,Paul Perkins,Male,East,2022-03-16,74,Cancelled
1034,Heather Smith,Female,Central,2022-09-16,38,Expired
1035,Lorraine Rodriguez,Female,East,2022-09-26,46,Expired
1036,Robert Bishop,Male,South-West,2020-09-14,45,Trial
1037,Lisa Sanders,Female,West,2020-06-03,21,Expired
1038,Jason Ford,Male,East,2023-10-09,34,Active
1039,Brandy Good,Female,West,2023-05-21,51,Expired
1040,Angel Lee,Female,Central,2022-04-08,22,Cancelled
1041,David Beltran,Male,East,2021-01-18,46,Trial
1042,Christopher Dodson,Male,North,2023-10-30,76,Trial
1043,Eric Pena,Male,West,2022-06-30,67,Cancelled
1044,Anita Huerta,Female,East,2022-04-08,70,Expired
1045,Dr. Susan Bailey,Female,North,2020-10-02,34,Trial
1046,Tyler Colon,Male,Central,2021-03-03,34,Expired
1047,Ashley Pearson,Female,West,2020-10-04,30,Active
1048,Dr. Donald Proctor,Male,North,2024-03-17,61,Cancelled
1049,Rebecca Jordan,Female,West,2022-10-08,26,Expired
1050,Jeffrey Mclaughlin,Male,East,2022-03-28,43,Expired
1051,Amy Nguyen,Female,Central,2024-02-13,32,Active
1052,Brandon Hinton,Male,South-West,2022-11-10,54,Cancelled
1053,Benjamin Cline,Male,East,2022-01-25,58,Active
1054,Laura Mcdonald,Female,South,2022-12-03,56,Active
1055,William Benitez,Male,East,2020-11-04,32,Expired
1056,Kristina Wilson,Female,East,2023-05-15,48,Cancelled
1057,Kathy Hall,Female,North,2023-10-27,76,Active
1058,Steven Jackson,Male,Central,2020-06-26,64,Active
1059,Steve Massey,Male,West,2020-08-06,25,Expired
1060,Mr. Christopher Thompson,Male,South,2023-04-10,45,Cancelled
1061,Taylor Kaufman,Female,North,2021-07-23,36,Trial
1062,Ashley Harmon,Female,South,2024-02-13,55,Active
1063,Howard Case,Male,South-West,2021-02-15,35,Expired
1064,Joshua Cline,Male,East,2024-02-19,72,Expired
1065,Daniel Adams,Male,Central,2023-07-02,36,Expired
1066,Derrick Myers,Male,North,2022-04-06,56,Active
1067,Lawrence Pearson,Male,East,2023-04-29,75,Cancelled
1068,Melissa Gutierrez,Female,East,2023-12-25,20,Active
1069,Virginia Warren,Female,North,2023-08-24,26,Cancelled
1070,Brittany Johnson,Female,East,2021-06-04,56,Expired
1071,Christopher Frost,Male,East,2020-08-21,78,Cancelled
1072,Shannon Schmitt,Male,East,2022-08-23,40,Trial
1073,Matthew Clark,Male,Central,2023-08-21,56,Expired
1074,Alyssa Evans,Female,West,2021-10-27,51,Cancelled
1075,Joseph Chavez,Male,North,2023-01-01,27,Trial
1076,Glenn Shelton,Male,East,2024-05-01,79,Trial
1077,Amy Espinoza,Female,North,2021-05-29,62,Trial
1078,Danielle Fuller,Female,South-West,2023-12-08,44,Expired
1079,Zachary Thompson MD,Male,East,2022-09-05,63,Expired
1080,Thomas Parker,Male,South-West,2023-02-28,57,Expired
1081,Ryan White,Male,South,2020-09-04,65,Expired
1082,Connor Martin,Male,Central,2023-01-05,63,Trial
1083,Jacqueline Bishop,Female,South,2020-06-05,24,Cancelled
1084,Martha Mccall,Female,North,2022-05-31,22,Active
1085,Steven Wright,Male,Central,2021-08-22,26,Expired
1086,Robert Rodriguez,Male,East,2023-03-01,40,Expired
1087,Carla Tran,Female,East,2020-07-22,35,Cancelled
1088,Lindsay Torres,Female,East,2021-12-30,31,Trial
